Model 1 (k=1000),Model 2 (k=50000),Model 3 (k=100000),Model 4 (k=500000),Model 5 (k=1000000)
768.0,38916.0,78068.0,391520.0,782502.0
785.0,38549.0,77739.0,388650.0,779347.0
767.0,38426.0,77677.0,387074.0,774127.0
811.0,38692.0,76990.0,384990.0,769092.0
723.0,38005.0,76760.0,381616.0,766343.0
723.0,38044.0,76214.0,379730.0,761231.0
735.0,37574.0,75512.0,377762.0,756612.0
757.0,37295.0,74709.0,376124.0,751313.0
740.0,37060.0,75017.0,374151.0,747739.0
745.0,37280.0,74243.0,370929.0,740111.0
752.0,36543.0,73312.0,368109.0,737957.0
696.0,36831.0,73008.0,365234.0,732217.0
762.0,36124.0,72697.0,364439.0,725427.0
741.0,35883.0,72051.0,361586.0,722205.0
741.0,35926.0,71687.0,357327.0,716181.0
662.0,35459.0,71010.0,355961.0,710550.0
677.0,35140.0,70366.0,352258.0,705132.0
665.0,34791.0,69918.0,350282.0,697367.0
673.0,34641.0,69384.0,346922.0,692900.0
728.0,34456.0,68891.0,345108.0,686760.0
699.0,34238.0,68148.0,340191.0,681440.0
685.0,34019.0,67350.0,338350.0,675698.0
670.0,33246.0,66923.0,335259.0,669578.0
640.0,33204.0,66301.0,330786.0,662361.0
641.0,32867.0,65634.0,327693.0,656631.0
595.0,32937.0,65089.0,324035.0,649581.0
655.0,32181.0,64386.0,319983.0,642471.0
646.0,31915.0,63234.0,317788.0,634783.0
628.0,31816.0,62587.0,314644.0,627483.0
608.0,31207.0,62611.0,310686.0,621661.0
634.0,30813.0,61389.0,307649.0,613880.0
595.0,29874.0,60665.0,302833.0,605780.0
560.0,29996.0,60090.0,299785.0,600000.0
611.0,29365.0,59098.0,295143.0,592134.0
602.0,29178.0,58441.0,291823.0,584777.0
535.0,28977.0,56961.0,288169.0,576903.0
547.0,28459.0,56784.0,284916.0,569248.0
544.0,28153.0,55980.0,279879.0,561531.0
556.0,27959.0,55464.0,277380.0,553787.0
584.0,27248.0,54262.0,272914.0,547303.0
526.0,26782.0,54222.0,270157.0,537943.0
512.0,26596.0,53094.0,265966.0,532253.0
545.0,26060.0,52575.0,261858.0,523495.0
495.0,25748.0,51280.0,257023.0,516296.0
539.0,25513.0,51012.0,254206.0,508137.0
508.0,24943.0,50277.0,249974.0,499111.0
524.0,24862.0,49210.0,246833.0,493150.0
486.0,24302.0,48196.0,242512.0,485095.0
492.0,23910.0,48349.0,239327.0,477018.0
472.0,23498.0,47107.0,235457.0,470610.0
464.0,23528.0,46324.0,232866.0,465290.0
420.0,23103.0,45462.0,228657.0,457175.0
447.0,22631.0,45227.0,224478.0,449113.0
412.0,22011.0,44637.0,221043.0,442280.0
435.0,21608.0,43542.0,218525.0,435143.0
455.0,21355.0,42956.0,215326.0,429381.0
434.0,20963.0,42482.0,212276.0,423757.0
414.0,20851.0,41494.0,208733.0,417780.0
437.0,20571.0,41169.0,205397.0,410062.0
400.0,20252.0,40615.0,202445.0,404904.0
403.0,19925.0,39970.0,199859.0,398378.0
372.0,19937.0,39444.0,196686.0,394460.0
382.0,19280.0,38803.0,194344.0,388482.0
379.0,18947.0,38313.0,191619.0,384031.0
378.0,19069.0,37920.0,189617.0,379228.0
380.0,18663.0,37123.0,186627.0,374854.0
374.0,18199.0,37326.0,185918.0,369602.0
